C,class_weight,solver,macro_f1,micro_f1,per_class_f1
0.01,,liblinear,0.3612841981355964,0.7473684210526316,[0.90034364 0.90607735 0.         0.         0.        ]
0.01,,lbfgs,0.35546979804105333,0.7395833333333334,[0.90034364 0.87700535 0.         0.         0.        ]
0.01,balanced,liblinear,0.701496370351032,0.8067484662576687,[0.86075949 0.98780488 0.8        0.69565217 0.16326531]
0.01,balanced,lbfgs,0.7121986912144365,0.8055987558320373,[0.8559322  0.98159509 0.8        0.68817204 0.23529412]
0.05,,liblinear,0.37762970413209285,0.7667269439421338,[0.90034364 0.98780488 0.         0.         0.        ]
0.05,,lbfgs,0.37762970413209285,0.7667269439421338,[0.90034364 0.98780488 0.         0.         0.        ]
0.05,balanced,liblinear,0.7148681423324669,0.8124031007751938,[0.8559322  0.98780488 0.83495146 0.69565217 0.2       ]
0.05,balanced,lbfgs,0.707110277828928,0.8068535825545171,[0.85957447 0.98780488 0.8        0.68817204 0.2       ]
0.1,,liblinear,0.44542631430158436,0.7886323268206039,[0.90034364 0.98780488 0.33898305 0.         0.        ]
0.1,,lbfgs,0.40781838337737586,0.7755834829443446,[0.90034364 0.98780488 0.1509434  0.         0.        ]
0.1,balanced,liblinear,0.7321609621411618,0.8275862068965517,[0.86808511 0.98780488 0.83495146 0.7032967  0.26666667]
0.1,balanced,lbfgs,0.7291706708790258,0.8251968503937008,[0.86808511 0.98780488 0.82       0.7032967  0.26666667]
0.5,,liblinear,0.6583989349013236,0.8618968386023295,[0.90034364 0.98780488 0.75       0.65384615 0.        ]
0.5,,lbfgs,0.6583989349013236,0.8618968386023295,[0.90034364 0.98780488 0.75       0.65384615 0.        ]
0.5,balanced,liblinear,0.755764471240218,0.8585055643879174,[0.89166667 0.98780488 0.88       0.74157303 0.27777778]
0.5,balanced,lbfgs,0.7541165311653116,0.8571428571428571,[0.89166667 0.98780488 0.88       0.73333333 0.27777778]
1.0,,liblinear,0.6997056245868963,0.8834154351395731,[0.90909091 0.98780488 0.79518072 0.80645161 0.        ]
1.0,,lbfgs,0.7016927431593807,0.8870703764320785,[0.91289199 0.99393939 0.79518072 0.80645161 0.        ]
1.0,balanced,liblinear,0.7721685895118241,0.8768,[0.91428571 0.98780488 0.87755102 0.75862069 0.32258065]
1.0,balanced,lbfgs,0.7758726006674753,0.8803827751196173,[0.91869919 0.98780488 0.87755102 0.77272727 0.32258065]
2.0,,liblinear,0.7109227554150174,0.8928571428571429,[0.91814947 0.99393939 0.81395349 0.82857143 0.        ]
2.0,,lbfgs,0.720257982737463,0.8986928104575164,[0.91814947 0.99393939 0.82352941 0.86567164 0.        ]
2.0,balanced,liblinear,0.7721820593581391,0.8838709677419355,[0.91428571 0.99393939 0.87755102 0.76744186 0.30769231]
2.0,balanced,lbfgs,0.7698677315651663,0.8820678513731826,[0.91428571 0.99393939 0.86597938 0.76744186 0.30769231]
5.0,,liblinear,0.7189655711316362,0.9022801302931596,[0.93140794 0.99393939 0.84090909 0.82857143 0.        ]
5.0,,lbfgs,0.7189655711316362,0.9022801302931596,[0.93140794 0.99393939 0.84090909 0.82857143 0.        ]
5.0,balanced,liblinear,0.7765479415955003,0.8972267536704731,[0.92369478 0.99393939 0.88421053 0.79518072 0.28571429]
5.0,balanced,lbfgs,0.7739505389980976,0.8957654723127035,[0.92369478 0.99393939 0.88421053 0.79518072 0.27272727]
10.0,,liblinear,0.7323901298788827,0.9168026101141925,[0.95202952 0.99393939 0.86666667 0.84931507 0.        ]
10.0,,lbfgs,0.7311926125367871,0.9153094462540716,[0.95202952 0.98795181 0.86666667 0.84931507 0.        ]
10.0,balanced,liblinear,0.7836775587070928,0.9070146818923328,[0.94023904 0.99393939 0.89361702 0.80487805 0.28571429]
10.0,balanced,lbfgs,0.7836775587070928,0.9070146818923328,[0.94023904 0.99393939 0.89361702 0.80487805 0.28571429]
