model,aspect,true_positive,false_positive,false_negative,true_negative
MPNet unretrained,food,131,18,3,8
MPNet unretrained,price,82,8,3,67
MPNet unretrained,service,24,2,18,116
MPNet unretrained,ambiance,25,12,10,113
MPNet unretrained,miscellaneous,7,27,7,119
MPNet retrained,food,134,10,0,16
MPNet retrained,price,85,0,0,75
MPNet retrained,service,37,2,5,116
MPNet retrained,ambiance,34,0,1,125
MPNet retrained,miscellaneous,5,32,9,114
TF-IDF,food,134,26,0,0
TF-IDF,price,79,8,6,67
TF-IDF,service,34,6,8,112
TF-IDF,ambiance,29,12,6,113
TF-IDF,miscellaneous,4,0,10,146
