model,label,precision,recall,f1-score,support
MPNet unretrained,food,0.8791946308724832,0.9776119402985075,0.9257950530035336,134.0
MPNet unretrained,price,0.9111111111111111,0.9647058823529412,0.9371428571428572,85.0
MPNet unretrained,service,0.9230769230769231,0.5714285714285714,0.7058823529411765,42.0
MPNet unretrained,ambiance,0.6756756756756757,0.7142857142857143,0.6944444444444444,35.0
MPNet unretrained,miscellaneous,0.20588235294117646,0.5,0.2916666666666667,14.0
MPNet unretrained,micro avg,0.8005952380952381,0.867741935483871,0.8328173374613003,310.0
MPNet unretrained,macro avg,0.7189881387354738,0.745606421673147,0.7109862748397358,310.0
MPNet unretrained,weighted avg,0.8405056688400422,0.867741935483871,0.8443536376517247,310.0
MPNet unretrained,samples avg,0.8416666666666668,0.8729166666666666,0.834375,310.0
MPNet retrained,food,0.9305555555555556,1.0,0.9640287769784173,134.0
MPNet retrained,price,1.0,1.0,1.0,85.0
MPNet retrained,service,0.9487179487179487,0.8809523809523809,0.9135802469135802,42.0
MPNet retrained,ambiance,1.0,0.9714285714285714,0.9855072463768116,35.0
MPNet retrained,miscellaneous,0.13513513513513514,0.35714285714285715,0.19607843137254902,14.0
MPNet retrained,micro avg,0.8702064896755162,0.9516129032258065,0.9090909090909091,310.0
MPNet retrained,macro avg,0.8028817278817278,0.8419047619047619,0.8118389403282716,310.0
MPNet retrained,weighted avg,0.9239757747822263,0.9516129032258065,0.9348002520899432,310.0
MPNet retrained,samples avg,0.8885416666666668,0.9541666666666666,0.9091666666666667,310.0
TF-IDF,food,0.8375,1.0,0.9115646258503401,134.0
TF-IDF,price,0.9080459770114943,0.9294117647058824,0.9186046511627907,85.0
TF-IDF,service,0.85,0.8095238095238095,0.8292682926829268,42.0
TF-IDF,ambiance,0.7073170731707317,0.8285714285714286,0.7631578947368421,35.0
TF-IDF,miscellaneous,1.0,0.2857142857142857,0.4444444444444444,14.0
TF-IDF,micro avg,0.8433734939759037,0.9032258064516129,0.8722741433021807,310.0
TF-IDF,macro avg,0.8605726100364451,0.7706442577030812,0.7734079817754689,310.0
TF-IDF,weighted avg,0.8511774374417825,0.9032258064516129,0.8644937807854111,310.0
TF-IDF,samples avg,0.8625,0.90625,0.8704166666666666,310.0
